Name,Area_Loc_time,Price,Area,City,time
Dell Latitude E7240 Core i5 4th gen,"Mazhar Farid Colony, Sadiqabad•17 hours ago","Rs 35,000",Mazhar Farid Colony, Sadiqabad,17 hours ago
Dell lattitude 6440 core i5 4th generation silver colour,"Saima Luxury Homes, Karachi•17 hours ago","Rs 35,000",Saima Luxury Homes, Karachi,17 hours ago
Lenovo Thinkpad W550s core I7 5th generation Laptop,"KDA Employees Society - Korangi, Karachi•17 hours ago","Rs 52,000",KDA Employees Society - Korangi, Karachi,17 hours ago
Lenovo t430 core i5,"Sabzazar, Lahore•17 hours ago","Rs 25,000",Sabzazar, Lahore,17 hours ago
Lenovo Core i5 7th Gen,"Gulnishan Park, Lahore•17 hours ago","Rs 48,000",Gulnishan Park, Lahore,17 hours ago
Lenovo x260/x270 core i5 6th generation 8gb ram 256gb ssd,"Bahria Town, Lahore•3 weeks ago","Rs 37,000",Bahria Town, Lahore,3 weeks ago
Dell core i5 2.40ghz 4gb ram 250gb HDD 8 month warranty,"Adiala Road, Rawalpindi•2 weeks ago","Rs 19,500",Adiala Road, Rawalpindi,2 weeks ago
Hp probook 640g3 Core i5 7th generation laptop,"100 Quarters, Karachi•4 weeks ago","Rs 47,999",100 Quarters, Karachi,4 weeks ago
Dell Latitude E7440  Laptop Core i5-4300 4GB 256SSD Fattani computers,"Gulshan-e-Iqbal Town, Karachi•4 weeks ago","Rs 33,000",Gulshan-e-Iqbal Town, Karachi,4 weeks ago
Slim  6th Gen Core i5 8gb ssd 256 gb 2k Touch Screen 360,"Sargodha, Punjab•3 weeks ago","Rs 35,000",Sargodha, Punjab,3 weeks ago
dell e5470 core i5 6th generation hq processor 100 battery health,"Kot Fareed Road, Sargodha•3 weeks ago","Rs 49,000",Kot Fareed Road, Sargodha,3 weeks ago
Toshiba Sleak Book core i5 4th Genration 4GB Ram 128GB SSD,"Shoukat Town, Lahore•18 hours ago","Rs 27,500",Shoukat Town, Lahore,18 hours ago
Dell Core i-5,"G-10, Islamabad•18 hours ago","Rs 23,500",G-10, Islamabad,18 hours ago
Dell Latitude 5580 - Intel Core i5 7300U / 2.6 GHz,"Civil Area Road, Okara•18 hours ago","Rs 90,000",Civil Area Road, Okara,18 hours ago
"HP ELITEBOOK 840 G5 CORE I5VPRO 8TH GENERATION 14""","Al Kabir Town, Lahore•18 hours ago","Rs 75,500",Al Kabir Town, Lahore,18 hours ago
Toshiba Core i5 3rd Gen,"North Nazimabad - Block F, Karachi•18 hours ago","Rs 22,999",North Nazimabad - Block F, Karachi,18 hours ago
Dell Latitude 5470 core i5 8th generation,"Bismillah Valley, Faisalabad•18 hours ago","Rs 55,000",Bismillah Valley, Faisalabad,18 hours ago
HP Pavilion 17 inch Core i3 5th Gen,"Airport, Karachi•18 hours ago","Rs 37,000",Airport, Karachi,18 hours ago
MACBOOK PRO 2015 13 INCH CTO MODLE CORE I5 2.9 16GB RAM 512GB SSD,"Cantt, Peshawar•18 hours ago","Rs 110,000",Cantt, Peshawar,18 hours ago
MacBook Air 2011 silver intel core i5,"Askari 11, Lahore•18 hours ago","Rs 45,000",Askari 11, Lahore,18 hours ago
"HP CORE i5 , 4th generation","Amer Pura, Rawalpindi•18 hours ago","Rs 33,500",Amer Pura, Rawalpindi,18 hours ago
MACBOOK PRO LATE 2020 Cto 13'' core i5 Q-C 2.0 /16GB RAM 512GB SSD,"G-9, Islamabad•18 hours ago","Rs 235,000",G-9, Islamabad,18 hours ago
hp probook 640 g2 core i5 6th gen ran 8gb dd4 hard 500gb touch screen,"Blue Area, Islamabad•18 hours ago","Rs 45,000",Blue Area, Islamabad,18 hours ago
lenovo t440p core i5 4th gen ram 4gb  hard 500gb  rs 34000-/,"AWT Housing Scheme, Rawalpindi•18 hours ago","Rs 30,000",AWT Housing Scheme, Rawalpindi,18 hours ago
MACBOOK PRO 2015 13 INCH CTO MODLE CORE I5 2.9 16GB RAM 512GB SSD,"G-9, Islamabad•18 hours ago","Rs 100,000",G-9, Islamabad,18 hours ago
Hp probook 450 G8  core i5 11th gen,"Blue Area, Islamabad•4 weeks ago","Rs 150,000",Blue Area, Islamabad,4 weeks ago
"Dell Core i5 6th Generation Laptop. . Better Than Hp , Lenovo","Cantt, Lahore•2 weeks ago","Rs 38,000",Cantt, Lahore,2 weeks ago
Core i5 i7 i3 Wholesale Laptops All Generations Read Ad,"Allama Iqbal Town, Lahore•2 weeks ago","Rs 25,000",Allama Iqbal Town, Lahore,2 weeks ago
"HP Elitebook 820 G3; Core i5 6th Gen, 8GB, 256M2 FATTANI COMPUTERS","Gulshan-e-Iqbal Town, Karachi•3 weeks ago","Rs 40,000",Gulshan-e-Iqbal Town, Karachi,3 weeks ago
HP Elite Book 840 G3 | Core i5 6th Generation | 8GB RAM | 256GB SSD,"Techno City, Karachi•23 hours ago","Rs 46,999",Techno City, Karachi,23 hours ago
dell e5470 core i5 6th generation hq processor 100 battery health,"Kot Fareed Road, Sargodha•3 weeks ago","Rs 49,000",Kot Fareed Road, Sargodha,3 weeks ago
MACBOOK PRO 2015 13 INCH Core i5 Cto Model 2.9 16GB RAM 512GB SSD,"Gulberg 3, Lahore•18 hours ago","Rs 100,000",Gulberg 3, Lahore,18 hours ago
Dell Latitude E7240 Core i5 4th generation,"Shadbagh, Lahore•18 hours ago","Rs 30,000",Shadbagh, Lahore,18 hours ago
HP CORE I5 5th Gen,"Darya Khan Road, Bhakkar•18 hours ago","Rs 35,000",Darya Khan Road, Bhakkar,18 hours ago
lenovo core I-5 laptop available,"Westridge, Rawalpindi•18 hours ago","Rs 32,000",Westridge, Rawalpindi,18 hours ago
HP Zbook core i7 5th generation,"Saroba Gardens Housing Society, Lahore•18 hours ago","Rs 72,000",Saroba Gardens Housing Society, Lahore,18 hours ago
Core i5 3rd generation 4ram 320 gb hard,"People Colony, Rawalpindi•18 hours ago","Rs 25,000",People Colony, Rawalpindi,18 hours ago
Dell Laptop . . . . core i5 with front camera,"Thokar Niaz Baig, Lahore•19 hours ago","Rs 35,000",Thokar Niaz Baig, Lahore,19 hours ago
Lenovo IdeaPad 310 core i5  7 generation,"Ravi Road, Okara•19 hours ago","Rs 35,000",Ravi Road, Okara,19 hours ago
MACBOOK AIR 2017 13 INCH CORE I5 1.8 8GB RAM 256GB SSD,"Gulberg 3, Lahore•19 hours ago","Rs 85,000",Gulberg 3, Lahore,19 hours ago
MACBOOK AIR 2015 13 INCH CORE i5 1.6 8GB RAM 256GB SSD,"Gulberg 3, Lahore•19 hours ago","Rs 75,000",Gulberg 3, Lahore,19 hours ago
Dell 2nd generation core i5 laptop 4gb ram 320gb hard 1 month warranty,"Ghazi Road, Lahore•19 hours ago","Rs 19,600",Ghazi Road, Lahore,19 hours ago
MACBOOK PRO LATE 2020 CTO MODLE 13 TOUCHBAR I5 QUAD-CORE2.0 16GB 512GB,"Cantt, Peshawar•19 hours ago","Rs 235,000",Cantt, Peshawar,19 hours ago
Toshiba Tecra Z40-B Core i5 5th Gen 128gb Msata 4gb Ram,"Federal B Area - Block 8, Karachi•19 hours ago","Rs 40,000",Federal B Area - Block 8, Karachi,19 hours ago
MACBOOK AIR 2015 13 INCH CORE I5 1.6 8GB RAM 256GB SSD LUSH CONDITION,"Cantt, Peshawar•19 hours ago","Rs 75,000",Cantt, Peshawar,19 hours ago
Lenovo T470 Core i 7 6th Gen Laptop 8GB-256 Backlit-FHD/HAROON TRADERS,"DHA Phase 5, Karachi•3 weeks ago","Rs 47,999",DHA Phase 5, Karachi,3 weeks ago
Hp probook 450 G8  core i5 11th gen,"Blue Area, Islamabad•4 weeks ago","Rs 150,000",Blue Area, Islamabad,4 weeks ago
LENOVO Thinkpad T14 G2 - Core i5 11th Gen - 16GB 512GB - W11 Pro,"Clifton - Block 7, Karachi•3 weeks ago","Rs 240,000",Clifton - Block 7, Karachi,3 weeks ago
Dell latitude 7480 Core i5 7th Generation Touch screen 8gb 256 M2 SSD,"100 Quarters, Karachi•4 weeks ago","Rs 48,999",100 Quarters, Karachi,4 weeks ago
Dell 5480 Core i5 6th gen Touch 8Gb/256Gb ssd,"Muslim Town, Faisalabad•2 weeks ago","Rs 44,999",Muslim Town, Faisalabad,2 weeks ago
Lenovo ThinkPad T450 Intel Core i5-5300U 08 GB 128GB  SSd,"Bani Gala, Islamabad•2 weeks ago","Rs 41,000",Bani Gala, Islamabad,2 weeks ago
MACBOOK AIR 2017 13 INCH CORE I5 1.8 8GB RAM 256GB SSD LUSH CONDITION,"Cantt, Peshawar•19 hours ago","Rs 85,000",Cantt, Peshawar,19 hours ago
Toshiba Core i5 Touch & Type 4th Gen,"Ancholi, Karachi•19 hours ago","Rs 24,500",Ancholi, Karachi,19 hours ago
DELL LATITUDE E5480 Core i5 6th Gen laptop.,"Katchery Chowk, Multan•19 hours ago","Rs 48,500",Katchery Chowk, Multan,19 hours ago
Lenovo Thinkpad x250 core i5 5th Generation,"Jinnah Chowk, Sukkur•19 hours ago","Rs 33,500",Jinnah Chowk, Sukkur,19 hours ago
Hp Core i5 2nd Generation,"E-7, Islamabad•19 hours ago","Rs 15,000",E-7, Islamabad,19 hours ago
hp leptop core i5,"Mardan Khas, Mardan•20 hours ago","Rs 43,000",Mardan Khas, Mardan,20 hours ago
"Core i5, 6th Generation 10/10 Mont Condition","E-11/2, Islamabad•20 hours ago","Rs 50,000",E-11/2, Islamabad,20 hours ago
Dell Laptop core I-5 5th generation,"Dhoke Ratta, Rawalpindi•20 hours ago","Rs 37,000",Dhoke Ratta, Rawalpindi,20 hours ago
HP ProBook 6560b Only Branded Core i5 2nd Gen 4GB Ram 320GB HDD,"Punjab Coop Housing - Block F2, Lahore•20 hours ago","Rs 26,500",Punjab Coop Housing - Block F2, Lahore,20 hours ago
Hp Probook Intel Core i5 Slim Laptop 10/10,"Samanabad, Lahore•20 hours ago","Rs 25,000",Samanabad, Lahore,20 hours ago
Dell Core i5 3rd Generation,"Dhok Paracha, Rawalpindi•20 hours ago","Rs 20,000",Dhok Paracha, Rawalpindi,20 hours ago
Dell vestro core i5 4gb ram 128 gb ssd,"Shershah Colony - Ichra, Lahore•20 hours ago","Rs 22,500",Shershah Colony - Ichra, Lahore,20 hours ago
core i5 8th generation x280,"Pakistan Town, Islamabad•20 hours ago","Rs 58,000",Pakistan Town, Islamabad,20 hours ago
Dell core i5 1 generation,"Afshan Colony, Rawalpindi•20 hours ago","Rs 10,000",Afshan Colony, Rawalpindi,20 hours ago
Core i5 i7 i3 Wholesale Laptops All Generations Read Ad,"Allama Iqbal Town, Lahore•2 weeks ago","Rs 25,000",Allama Iqbal Town, Lahore,2 weeks ago
Lenovo ThinkPad T450 Intel Core i5-5300U 08 GB 128GB  SSd,"Bani Gala, Islamabad•2 weeks ago","Rs 41,000",Bani Gala, Islamabad,2 weeks ago
Lenovo Thinkpad Laptop core i5 T480s T470 T460s used imported HP Dell,"DHA Defence, Lahore•4 weeks ago","Rs 47,000",DHA Defence, Lahore,4 weeks ago
"HP ZBook Studio G3, 32 gb ram, 1.5 tb NVME, Core i7-6th Gen, Gaming","Saddar, Rawalpindi•3 weeks ago","Rs 120,000",Saddar, Rawalpindi,3 weeks ago
Dell Core i5 8th generation laptop for sell,"Nowshera Bypass Road, Nowshera•3 days ago","Rs 80,000",Nowshera Bypass Road, Nowshera,3 days ago
Touch#360#slim#Hp 7Th Gen#8GB#256ssd#Core i5#A++ #1030 G2 Model,"Mandian, Abbottabad•3 weeks ago","Rs 69,999",Mandian, Abbottabad,3 weeks ago
HP Elitebook 840G3 Only Branded Core i5 6th gen 16GB RAM 256GB SSD,"Punjab Coop Housing - Block F2, Lahore•20 hours ago","Rs 56,500",Punjab Coop Housing - Block F2, Lahore,20 hours ago
Nec laptop core i5 third generation,"HBCHS - Haroon Bahria Society, Karachi•20 hours ago","Rs 22,000",HBCHS - Haroon Bahria Society, Karachi,20 hours ago
Fujitsu Core i5 6th Gen 4GB DDR4 320GB 5 Hours Battery 10/10,"Kala Gujran, Jhelum•21 hours ago","Rs 36,000",Kala Gujran, Jhelum,21 hours ago
core i5 hartdisk 250.    rame 4,"Waris Abad, Peshawar•21 hours ago","Rs 15,000",Waris Abad, Peshawar,21 hours ago
MACBOOK PRO 2019 15.4 inch core i9,"Clifton - Block 5, Karachi•21 hours ago","Rs 290,000",Clifton - Block 5, Karachi,21 hours ago
"Dell XPS 13 9350 Core I5 6th generation 8gb ,256gb","Chak 49 SB, Sargodha•21 hours ago","Rs 63,000",Chak 49 SB, Sargodha,21 hours ago
Fujitsu laptop Core i5 5th generation,"Multan, Punjab•21 hours ago","Rs 35,000",Multan, Punjab,21 hours ago
"Lenovo Thinkpad X240 - Core i5-4200U 12.5""LCD RAM4GB SSD128GB Win10","Tipu Sultan Road, Karachi•21 hours ago","Rs 27,999",Tipu Sultan Road, Karachi,21 hours ago
ASUS Gaming Core i5 7th GEN Radeon-2gb 1TB HDD 4gb DDR4 RAM 15.6 LED,"Garden Town Main Boulevard, Lahore•21 hours ago","Rs 50,000",Garden Town Main Boulevard, Lahore,21 hours ago
HP Probook 650 Core i5 6th 8gb 180gb ssd 15.6 Screen v good 10/10 LOT,"DHA Phase 1, Lahore•21 hours ago","Rs 53,500",DHA Phase 1, Lahore,21 hours ago
dell core i5 6th generation,"Ichhra, Lahore•22 hours ago","Rs 45,000",Ichhra, Lahore,22 hours ago
Laptop Dell Core i5 2nd Generation,"Saddar, Rawalpindi•22 hours ago","Rs 13,000",Saddar, Rawalpindi,22 hours ago
Dell Touch Screen Core i5 - 6th Generation - 8Gb Ram - 256 SSD,"Mansoorabad, Faisalabad•22 hours ago","Rs 58,000",Mansoorabad, Faisalabad,22 hours ago
HP EliteBook 840 G1 Core i5 16GB 500GB SSD,"Pine Valley, Pakpattan•22 hours ago","Rs 47,000",Pine Valley, Pakpattan,22 hours ago
"Dell Core i5 6th Generation Laptop. . Better Than Hp , Lenovo","Cantt, Lahore•2 weeks ago","Rs 38,000",Cantt, Lahore,2 weeks ago
LENOVO Thinkpad T14 G2 - Core i5 11th Gen - 16GB 512GB - W11 Pro,"Clifton - Block 7, Karachi•3 weeks ago","Rs 240,000",Clifton - Block 7, Karachi,3 weeks ago
HP probook 640 G3  Intel Core i5 7th Gen Laptop 8GB-256/HAROON TRADERS,"Saddar, Karachi•3 weeks ago","Rs 46,000",Saddar, Karachi,3 weeks ago
HP Elite Book 840 G3 | Core i5 6th Generation | 8GB RAM | 256GB SSD,"Techno City, Karachi•23 hours ago","Rs 46,999",Techno City, Karachi,23 hours ago
Dell Latitude E7440  Laptop Core i5-4300 4GB 256SSD Fattani computers,"Gulshan-e-Iqbal Town, Karachi•4 weeks ago","Rs 33,000",Gulshan-e-Iqbal Town, Karachi,4 weeks ago
"HP ProBook 650 G1 CORE I7 Quad Core  4TH GEN 15.6"" NUMPAD LAPTOP","North Karachi - Sector 5-C, Karachi•3 weeks ago","Rs 37,500",North Karachi - Sector 5-C, Karachi,3 weeks ago
"Hp 15,6inch Display core i5 7TH Genration 10GB DDR4 RAM 256 SSD","Shoukat Town, Lahore•22 hours ago","Rs 49,999",Shoukat Town, Lahore,22 hours ago
"Lenovo X1 Carbon
core i5 5th generation","Bahadurabad, Karachi•22 hours ago","Rs 50,000",Bahadurabad, Karachi,22 hours ago
#Dell XPS 13 9350 Ultra Hi End 13.3″ FHD Core i5-6200u,"G-9, Islamabad•22 hours ago","Rs 65,000",G-9, Islamabad,22 hours ago
7th Gen!!8GB DDR#4!!128 m2!!Core i5!!Dell 7280 A+!!3Hur Bckup,"Abbottabad, Khyber Pakhtunkhwa•22 hours ago","Rs 49,999",Abbottabad, Khyber Pakhtunkhwa,22 hours ago
HP laptop core i5 1st gen for sale,"Shadbagh, Lahore•23 hours ago","Rs 17,000",Shadbagh, Lahore,23 hours ago
hp elitebook 840 g2 core i5 5th gen 1gb graphic card -:03018531671,"Jora Pull, Lahore•23 hours ago","Rs 47,000",Jora Pull, Lahore,23 hours ago
HP Probook Core I5,"Others, Sukkur•23 hours ago","Rs 45,000",Others, Sukkur,23 hours ago
Dell XPS 13 9360 Ultra Hi End 13.3″ full Hd Core i5-7200,"G-9, Islamabad•23 hours ago","Rs 70,000",G-9, Islamabad,23 hours ago
Lenovo Core i5 10th-GEN 512gb-NVME-SSD 8gb-DDR4-RAM 15.6inch HD LED,"Garden Town Main Boulevard, Lahore•23 hours ago","Rs 75,000",Garden Town Main Boulevard, Lahore,23 hours ago
HP elitebook g1 840 core i5 4th generation,"Orangi Town - Sector 8, Karachi•23 hours ago","Rs 34,999",Orangi Town - Sector 8, Karachi,23 hours ago
"Company:Dell
Core i5 3rd Generation","Okara Bypass Road, Okara•23 hours ago","Rs 35,000",Okara Bypass Road, Okara,23 hours ago
"hp Elitebook core i5 5th Gen "" G2","G-10, Islamabad•23 hours ago","Rs 46,000",G-10, Islamabad,23 hours ago
hp 8470p core i5 3rd generation laptop,"Jaranwala, Faisalabad•23 hours ago","Rs 26,000",Jaranwala, Faisalabad,23 hours ago
Dell laptop core i5 2nd generation,"Ramtali Road, Gujrat•23 hours ago","Rs 29,500",Ramtali Road, Gujrat,23 hours ago
Dell E7470 Ultrabook Core i7 & i5 6th Gen LAPTOP 8-256/HAROON TRADERS,"Saddar, Karachi•3 weeks ago","Rs 44,999",Saddar, Karachi,3 weeks ago
"2019 MacBook Air, 1.6GHz Intel Core i5 (13"" 8GB RAM, 128GB SSD) Gold","New City Phase 2, Wah•23 hours ago","Rs 169,999",New City Phase 2, Wah,23 hours ago
Dell laptop core i 5 2nd generation,"Ramtali Road, Gujrat•23 hours ago","Rs 29,500",Ramtali Road, Gujrat,23 hours ago
Laptop Dell Core i5 2nd Generation,"Chandni Chowk, Rawalpindi•23 hours ago","Rs 10,000",Chandni Chowk, Rawalpindi,23 hours ago
DELL INSPIRON CORE I5 4TH GEN BACKLIT TOUCH SCREEN 8GB RAM 500GB,"Gulshan-e-Iqbal Town, Karachi•1 day ago","Rs 44,999",Gulshan-e-Iqbal Town, Karachi,1 day ago
Dell core i5 3rd generation 10/9 condition,"H-9, Islamabad•1 day ago","Rs 25,000",H-9, Islamabad,1 day ago
Dell laptop | laptop | dell | DELL LATITUDE E5440 core i5 4th Gen,"Gulistan-e-Jauhar Block 17, Karachi•1 day ago","Rs 31,000",Gulistan-e-Jauhar Block 17, Karachi,1 day ago
Laptop Dell inspiron n5110 intel core i5 2nd generation,"Singhpura, Lahore•1 day ago","Rs 18,000",Singhpura, Lahore,1 day ago
laptop | Dell laptop | Dell e7440 core i5 4th Gen | affordable laptop,"Buffer Zone 1, Karachi•1 day ago","Rs 30,999",Buffer Zone 1, Karachi,1 day ago
"Laptop - Levovo G50-80, Core i5","Korangi Road, Karachi•1 day ago","Rs 35,999",Korangi Road, Karachi,1 day ago
"Levovo G50-80, Core i5","Saddar, Karachi•1 day ago","Rs 36,000",Saddar, Karachi,1 day ago
"core i5
2nd generation 10/10 
16gb Ram
128gb ssd","Jhumra Road, Faisalabad•1 day ago","Rs 25,000",Jhumra Road, Faisalabad,1 day ago
hp core i5,"Mohallah Raja Sultan, Rawalpindi•1 day ago","Rs 45,000",Mohallah Raja Sultan, Rawalpindi,1 day ago
Dell Latitude e6440 Core I5 4th Generation RAM 4gb Harddisk 500 gb,"Samanabad, Lahore•1 day ago","Rs 41,500",Samanabad, Lahore,1 day ago
Apple imac 2019. . 2017. . 2015. . 2013 core i5 i7 all available,"Gulberg 1, Lahore•1 day ago","Rs 200,000",Gulberg 1, Lahore,1 day ago
HP Core i5 - Elite Book 8440p for Sale,"PWD Housing Society - Block A, Islamabad•1 day ago","Rs 24,000",PWD Housing Society - Block A, Islamabad,1 day ago
Dell laptop core i7 brand new = Ram 32GB Hp i5 all good,"Model Town B, Bahawalpur•1 day ago","Rs 31,000",Model Town B, Bahawalpur,1 day ago
Dell laptop core i7 never used all good working -brand hp i5 all ok,"Akberabad, Sialkot•1 day ago","Rs 31,000",Akberabad, Sialkot,1 day ago
Dell laptop core i7 pin packed good brand new- hp i5  new,"Abid Colony, Multan•1 day ago","Rs 31,000",Abid Colony, Multan,1 day ago
Dell core i7 laptops Everything Good hp new i5 full apple ok all,"Abdullah Sports City, Hyderabad•1 day ago","Rs 31,000",Abdullah Sports City, Hyderabad,1 day ago
Dell laptop core i7 Match Box good All ok i5 Very ok  new hp,"Saddar Town, Karachi•1 day ago","Rs 31,000",Saddar Town, Karachi,1 day ago
Dell laptop core i7 Perfect nice Good ok i5 apple ok hp,"Muzzaffarabad City, Muzaffarabad•1 day ago","Rs 31,000",Muzzaffarabad City, Muzaffarabad,1 day ago
Dell laptop core i7 Ram 32GB warranty perfect ( i5 _ hp ),"Blue Area, Islamabad•1 day ago","Rs 31,000",Blue Area, Islamabad,1 day ago
Dell laptop core i7 Ram 32GB good new all ok ( i5 _ hp ) all o,"Gulberg, Lahore•1 day ago","Rs 31,000",Gulberg, Lahore,1 day ago
Dell laptop core i7 { Hp i5 Everything  ok } apple perfect,"Afan Gee Town, Gujranwala•1 day ago","Rs 31,000",Afan Gee Town, Gujranwala,1 day ago
Dell laptop core i7 Ram 32GB Everything good ( i5 hp ) accessories,"Abdullah City, Faisalabad•1 day ago","Rs 31,000",Abdullah City, Faisalabad,1 day ago
Branded apple Laptop match box HP & Dell core i7 also i5,"Bahria Town Rawalpindi, Rawalpindi•1 day ago","Rs 31,000",Bahria Town Rawalpindi, Rawalpindi,1 day ago
Dell laptop core i7 : all Perfect Working hp apple - i5 ok,"Alamdar Road, Quetta•1 day ago","Rs 31,000",Alamdar Road, Quetta,1 day ago
Acer Laptop Core I5 6th Gen 4/128 GB SSD,"Gulshan Park, Lahore•1 day ago","Rs 21,999",Gulshan Park, Lahore,1 day ago
Dell core i5 7th generation full slim laptop for sale condition 10/10,"Faisalabad, Punjab•1 day ago","Rs 38,000",Faisalabad, Punjab,1 day ago
Dell core i5 6th generation in very low price for sale,"Ashrafabad, Faisalabad•1 day ago","Rs 35,000",Ashrafabad, Faisalabad,1 day ago
Dell Core i5 6th generation (8/256),"Chamkani, Peshawar•1 day ago","Rs 55,000",Chamkani, Peshawar,1 day ago
Core i5 7th Generation HP Laptops -HP DELL 6th 7th 8th Gen Laptop,"Johar Town, Lahore•1 day ago","Rs 59,000",Johar Town, Lahore,1 day ago
Dell latitude Core i5,"Shadbagh, Lahore•1 day ago","Rs 21,500",Shadbagh, Lahore,1 day ago
HP EliteBook 820 G3 Core i5 Gen: 6th RAM: 8 GB SSD: 256 GB,"Tench Bhata, Rawalpindi•1 day ago","Rs 48,500",Tench Bhata, Rawalpindi,1 day ago
"HP Folio 9480m Core i5  Gen: 4th RAM: 8 GB SSD: 256 GB Disp: 14""","Bahria Town Phase 7, Rawalpindi•1 day ago","Rs 46,500",Bahria Town Phase 7, Rawalpindi,1 day ago
Toshiba Laptop Core i5 6th Gen,"Askari Park, Karachi•1 day ago","Rs 48,000",Askari Park, Karachi,1 day ago
Dell latitude 5490 Touchscreen Core i5  Gen: 8th RAM: 8GB SSD: 256GB,"Westridge, Rawalpindi•1 day ago","Rs 62,500",Westridge, Rawalpindi,1 day ago
Lenovo thinkpad T470 Core i5 Quad Core Gen: 6th  RAM: 8GB,"Afshan Colony, Rawalpindi•1 day ago","Rs 56,500",Afshan Colony, Rawalpindi,1 day ago
HP Elitebook 840 G5 Core i5  Gen: 8th  RAM: 16GB SSD: 256G,"DHA Defence Phase 1, Islamabad•1 day ago","Rs 74,999",DHA Defence Phase 1, Islamabad,1 day ago
Intel Core i5 5th Gen/8GB/500GB/12.5″ HD LED/Win 10,"Jhang Sadar, Jhang•1 day ago","Rs 40,000",Jhang Sadar, Jhang,1 day ago
Lenovo x260 Core i5 6th Generation,"Khaizi, Quetta•1 day ago","Rs 37,999",Khaizi, Quetta,1 day ago
"Samsung Ultra Book
Core i5 Touch Screen","Gulistan-e-Jauhar Block 12, Karachi•1 day ago","Rs 53,000",Gulistan-e-Jauhar Block 12, Karachi,1 day ago
Core i5 3rd gen fujitsu,"Ashraf Town, Chakwal•1 day ago","Rs 25,000",Ashraf Town, Chakwal,1 day ago
DELL 7490 CORE I5 8TH GENERATION,"Rasheed Town, Peshawar•1 day ago","Rs 70,000",Rasheed Town, Peshawar,1 day ago
toshiba core i7 4th generation,"New Karachi - Sector 5-M, Karachi•1 day ago","Rs 32,000",New Karachi - Sector 5-M, Karachi,1 day ago
hp laptop core i5 8th generation,"I-9, Islamabad•1 day ago","Rs 55,000",I-9, Islamabad,1 day ago
HP Elitebook 850 G3 Core i5 6th Gen. 8GB RAM 128GB M. 2 SSD 500GB HDD,"RJ Shopping Mall, Karachi•1 day ago","Rs 60,000",RJ Shopping Mall, Karachi,1 day ago
Lenovo Yoga X370 7th Gen. Core i5 X360 Touch Screen,"RJ Shopping Mall, Karachi•1 day ago","Rs 50,000",RJ Shopping Mall, Karachi,1 day ago
"Lenovo X1 Carbon Core i5 6th Gen. 14"" FHD IPS Display","RJ Shopping Mall, Karachi•1 day ago","Rs 48,000",RJ Shopping Mall, Karachi,1 day ago
"SALE OFFER Dell Latitude E5500 Core i5 8th Gen. 15.6"" FHD Screen","RJ Shopping Mall, Karachi•1 day ago","Rs 70,000",RJ Shopping Mall, Karachi,1 day ago
Medion Erazer P7651  workstation core i5-8th 4gb GTX 1050 16/512gb,"Gulberg 3, Lahore•1 day ago","Rs 98,000",Gulberg 3, Lahore,1 day ago
core i5 3rd gen laptop,"Gulistan-e-Jauhar, Karachi•1 day ago","Rs 20,000",Gulistan-e-Jauhar, Karachi,1 day ago
Dell Latitude E5590 - Core i5 8th Gen 8GB RAM SIZE 15.6 NUMARIC PAD,"Hussainabad, Karachi•1 day ago","Rs 75,000",Hussainabad, Karachi,1 day ago
